model,window,mae,rmse,mape,directional_accuracy
sarimax,2024-01_to_2026-01,18.704660032620797,24.949498973520445,6.1093649855928325,62.5
sarima,2024-01_to_2026-01,18.84978953371591,24.726191654143296,6.110206821745135,62.5
arima,2024-01_to_2026-01,18.956489612566983,24.669565456896333,6.127897748933258,66.66666666666666
xgboost,2024-01_to_2026-01,22.39734908987063,32.5050002666533,7.3183968088632065,58.333333333333336
seasonal_naive,2024-01_to_2026-01,99.21271326438625,114.87851073123272,30.846682786757157,50.0
