month,garch_vol_forecast_pct
2024-01-01,7.014025430685704
2024-02-01,6.858394382572727
2024-03-01,6.8504387898965975
2024-04-01,6.850036664078941
2024-05-01,6.850016349870075
2024-06-01,6.850015323686272
2024-07-01,6.850015271848092
2024-08-01,6.850015269229461
2024-09-01,6.850015269097179
2024-10-01,6.850015269090497
2024-11-01,6.85001526909016
2024-12-01,6.850015269090142
2025-01-01,6.850015269090141
2025-02-01,6.850015269090141
2025-03-01,6.850015269090141
2025-04-01,6.850015269090141
2025-05-01,6.850015269090141
2025-06-01,6.850015269090141
2025-07-01,6.850015269090141
2025-08-01,6.850015269090141
2025-09-01,6.850015269090141
2025-10-01,6.850015269090141
2025-11-01,6.850015269090141
2025-12-01,6.850015269090141
2026-01-01,6.850015269090141
