forecast_date,target_month,model,yhat,pi_low,pi_high,is_oos
2024-01-01,2024-01-01,seasonal_naive,166.23571428571427,166.23571428571427,166.23571428571427,1
2024-02-01,2024-02-01,seasonal_naive,159.2975,159.2975,159.2975,1
2024-03-01,2024-03-01,seasonal_naive,181.0578947368421,181.0578947368421,181.0578947368421,1
2024-04-01,2024-04-01,seasonal_naive,177.02391304347827,177.02391304347827,177.02391304347827,1
2024-05-01,2024-05-01,seasonal_naive,189.13684210526316,189.13684210526316,189.13684210526316,1
2024-06-01,2024-06-01,seasonal_naive,185.30454545454543,185.30454545454543,185.30454545454543,1
2024-07-01,2024-07-01,seasonal_naive,175.42619047619047,175.42619047619047,175.42619047619047,1
2024-08-01,2024-08-01,seasonal_naive,159.6525,159.6525,159.6525,1
2024-09-01,2024-09-01,seasonal_naive,156.1304347826087,156.1304347826087,156.1304347826087,1
2024-10-01,2024-10-01,seasonal_naive,152.72750000000002,152.72750000000002,152.72750000000002,1
2024-11-01,2024-11-01,seasonal_naive,155.65454545454546,155.65454545454546,155.65454545454546,1
2024-12-01,2024-12-01,seasonal_naive,170.86428571428573,170.86428571428573,170.86428571428573,1
2025-01-01,2025-01-01,seasonal_naive,188.20999999999998,188.20999999999998,188.20999999999998,1
2025-02-01,2025-02-01,seasonal_naive,186.5595238095238,186.5595238095238,186.5595238095238,1
2025-03-01,2025-03-01,seasonal_naive,185.8675,185.8675,185.8675,1
2025-04-01,2025-04-01,seasonal_naive,185.4275,185.4275,185.4275,1
2025-05-01,2025-05-01,seasonal_naive,218.68636363636367,218.68636363636367,218.68636363636367,1
2025-06-01,2025-06-01,seasonal_naive,209.52954545454543,209.52954545454543,209.52954545454543,1
2025-07-01,2025-07-01,seasonal_naive,227.4,227.4,227.4,1
2025-08-01,2025-08-01,seasonal_naive,236.52045454545453,236.52045454545453,236.52045454545453,1
2025-09-01,2025-09-01,seasonal_naive,240.9409090909091,240.9409090909091,240.9409090909091,1
2025-10-01,2025-10-01,seasonal_naive,256.425,256.425,256.425,1
2025-11-01,2025-11-01,seasonal_naive,252.72391304347823,252.72391304347823,252.72391304347823,1
2025-12-01,2025-12-01,seasonal_naive,277.9525,277.9525,277.9525,1
2026-01-01,2026-01-01,seasonal_naive,321.0404761904762,321.0404761904762,321.0404761904762,1
2024-01-01,2024-01-01,arima,192.70730609333125,174.68858948385463,210.72602270280788,1
2024-02-01,2024-02-01,arima,188.0395856621023,170.03834580518728,206.04082551901732,1
2024-03-01,2024-03-01,arima,186.31872946605387,168.34689986640612,204.29055906570161,1
2024-04-01,2024-04-01,arima,185.52206680241747,167.58094377030866,203.46318983452628,1
2024-05-01,2024-05-01,arima,224.81650700890066,206.50659190128266,243.12642211651865,1
2024-06-01,2024-06-01,arima,210.74005363051776,192.3804888045839,229.09961845645162,1
2024-07-01,2024-07-01,arima,231.02260518771425,212.5973840644948,249.4478263109337,1
2024-08-01,2024-08-01,arima,239.96325394178913,221.55986634005822,258.3666415435201,1
2024-09-01,2024-09-01,arima,243.51072473040404,225.13900984027168,261.8824396205364,1
2024-10-01,2024-10-01,arima,260.44513047592926,242.04473970727358,278.8455212445849,1
2024-11-01,2024-11-01,arima,254.3077983165321,235.9175583528688,272.69803828019536,1
2024-12-01,2024-12-01,arima,282.99079954967243,264.4412662092524,301.5403328900925,1
2025-01-01,2025-01-01,arima,331.9529918202865,312.94651026280985,350.9594733777632,1
2025-02-01,2025-02-01,arima,345.79287182750016,326.8123780221449,364.7733656328554,1
2025-03-01,2025-03-01,arima,415.0543167732544,395.33408241339424,434.7745511331146,1
2025-04-01,2025-04-01,arima,398.27461742744714,378.3823802327121,418.1668546221822,1
2025-05-01,2025-05-01,arima,375.84176711906196,355.8070914422768,395.8764427958471,1
2025-06-01,2025-06-01,arima,371.924700709197,351.91702535781906,391.93237606057494,1
2025-07-01,2025-07-01,arima,324.65434453447693,304.21714799115466,345.0915410777992,1
2025-08-01,2025-08-01,arima,282.46843717979044,261.8112198781173,303.1256544814636,1
2025-09-01,2025-09-01,arima,336.83588763126625,315.4677296714181,358.2040455911144,1
2025-10-01,2025-10-01,arima,390.76118821241323,368.953692385345,412.56868403948147,1
2025-11-01,2025-11-01,arima,397.7257259360739,375.9529763073359,419.4984755648119,1
2025-12-01,2025-12-01,arima,380.17020680921684,358.3635636440437,401.97684997438995,1
2026-01-01,2026-01-01,arima,354.648884032484,332.76425621586566,376.5335118491023,1
2024-01-01,2024-01-01,sarima,192.89835623451526,174.75834121084014,211.03837125819038,1
2024-02-01,2024-02-01,sarima,184.52494514546487,166.40315347829133,202.6467368126384,1
2024-03-01,2024-03-01,sarima,187.67311130064775,169.58305946608812,205.76316313520738,1
2024-04-01,2024-04-01,sarima,183.88654224080824,165.82701986453884,201.94606461707764,1
2024-05-01,2024-05-01,sarima,225.07054745308102,206.58753170314964,243.5535632030124,1
